StartTime	Step	Resulting Video Length	Frame filming time	Total filming time
10	3	23	4.17 min	1.58 hours
10	4	17	4.17 min	1.18 hours
15	3	23	6.25 min	2.37 hours
15	4	17	6.25 min	1.77 hours
15	5	14	6.25 min	1.42 hours
15	6	11	6.25 min	1.18 hours
20	3	23	8.33 min	3.16 hours
20	4	17	8.33 min	2.37 hours
20	5	14	8.33 min	1.89 hours
20	6	11	8.33 min	1.58 hours
25	3	23	10.42 min	3.94 hours
25	4	17	10.42 min	2.96 hours
25	5	14	10.42 min	2.36 hours
25	6	11	10.42 min	1.97 hours
30	3	23	12.50 min	4.73 hours
30	4	17	12.50 min	3.55 hours
30	5	14	12.50 min	2.83 hours
30	6	11	12.50 min	2.37 hours
35	3	23	14.58 min	5.52 hours
35	4	17	14.58 min	4.14 hours
35	5	14	14.58 min	3.31 hours
35	6	11	14.58 min	2.76 hours
40	3	23	16.67 min	6.31 hours
40	4	17	16.67 min	4.73 hours
40	5	14	16.67 min	3.78 hours
40	6	11	16.67 min	3.16 hours
45	3	23	18.75 min	7.10 hours
45	4	17	18.75 min	5.33 hours
45	5	14	18.75 min	4.25 hours
45	6	11	18.75 min	3.55 hours
50	3	23	20.83 min	7.89 hours
50	4	17	20.83 min	5.92 hours
50	5	14	20.83 min	4.72 hours
50	6	11	20.83 min	3.94 hours
55	3	23	22.92 min	8.68 hours
55	4	17	22.92 min	6.51 hours
55	5	14	22.92 min	5.19 hours
55	6	11	22.92 min	4.34 hours
60	3	23	25.00 min	9.47 hours
60	4	17	25.00 min	7.10 hours
60	5	14	25.00 min	5.67 hours
60	6	11	25.00 min	4.73 hours
65	3	23	27.08 min	10.26 hours
65	4	17	27.08 min	7.69 hours
65	5	14	27.08 min	6.14 hours
65	6	11	27.08 min	5.13 hours
70	3	23	29.17 min	11.04 hours
70	4	17	29.17 min	8.28 hours
70	5	14	29.17 min	6.61 hours
70	6	11	29.17 min	5.52 hours
75	3	23	31.25 min	11.83 hours
75	4	17	31.25 min	8.88 hours
75	5	14	31.25 min	7.08 hours
75	6	11	31.25 min	5.92 hours
80	3	23	33.33 min	12.62 hours
80	4	17	33.33 min	9.47 hours
80	5	14	33.33 min	7.56 hours
80	6	11	33.33 min	6.31 hours
85	3	23	35.42 min	13.41 hours
85	4	17	35.42 min	10.06 hours
85	5	14	35.42 min	8.03 hours
85	6	11	35.42 min	6.71 hours
90	3	23	37.50 min	14.20 hours
90	4	17	37.50 min	10.65 hours
90	5	14	37.50 min	8.50 hours
90	6	11	37.50 min	7.10 hours
